language,repo,split,speech_type,parquet_file,status,rows
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_000.parquet,completed,1299
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_001.parquet,completed,1251
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_002.parquet,completed,1346
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_003.parquet,completed,1423
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_004.parquet,completed,1207
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_005.parquet,completed,1512
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_006.parquet,completed,1496
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_007.parquet,completed,1410
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_008.parquet,completed,1288
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_009.parquet,completed,1601
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_010.parquet,completed,1883
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_011.parquet,completed,1561
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_012.parquet,completed,1533
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_013.parquet,completed,1722
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_014.parquet,completed,1933
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_015.parquet,completed,1848
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_016.parquet,completed,2212
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_017.parquet,completed,1790
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_018.parquet,completed,1580
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_019.parquet,completed,1465
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_020.parquet,completed,1983
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_021.parquet,completed,2206
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_022.parquet,completed,2133
kik,Anv-ke/kikuyu,train,scripted,Anv-ke/kikuyu::train/scripted/audios/train_scripted_023.parquet,completed,1513
